# data/reports/report-Feb-12-2015-17h03.txt
Generating reports for data/histories/generated/small/**/*.log
------------------------------------------------------------------------------
            data/histories/generated/small/**/*.log (timeout 10s)             
------------------------------------------------------------------------------
history                 | algorithm     | steps | concurrency | time       | v
ScalObject-bkq.06.log   | Saturate+R    | 18    | 1.0 ± 0.0   | 0.0036s    | √
------------------------+---------------+-------+-------------+------------+--
ScalObject-bkq.07.log   | Enumerate+C   | 18    | 1.8 ± 1.0   | 8.5715s    | √
ScalObject-bkq.07.log   | Counting(4)   | 18    | 1.8 ± 1.0   | 0.3472s    | √
ScalObject-bkq.07.log   | Counting(4)+R | 18    | 1.8 ± 1.0   | 0.2277s    | √
ScalObject-bkq.07.log   | Counting(2)   | 20    | 1.8 ± 1.0   | 1.1057s    | -
ScalObject-bkq.07.log   | Counting(2)+R | 20    | 1.8 ± 1.0   | 0.7608s    | -
ScalObject-bkq.07.log   | Counting(0)   | 20    | 1.8 ± 1.0   | 1.3272s    | -
ScalObject-bkq.07.log   | Counting(0)+R | 20    | 1.8 ± 1.0   | 0.8693s    | -
ScalObject-bkq.07.log   | Symbolic      | 18    | 1.8 ± 1.0   | 0.2102s    | √
ScalObject-bkq.07.log   | Symbolic+R    | 18    | 1.8 ± 1.0   | 0.1223s    | √
ScalObject-bkq.07.log   | Saturate      | 19    | 1.8 ± 1.0   | 0.0061s    | √
ScalObject-bkq.07.log   | Saturate+R    | 19    | 1.8 ± 1.0   | 0.0072s    | √
------------------------+---------------+-------+-------------+------------+--
ScalObject-bkq.08.log   | Enumerate+C   | 20    | 1.1 ± 0.3   | 0.3493s    | √
ScalObject-bkq.08.log   | Counting(4)   | 20    | 1.1 ± 0.3   | 0.4721s    | √
ScalObject-bkq.08.log   | Counting(4)+R | 20    | 1.1 ± 0.3   | 0.1706s    | √
ScalObject-bkq.08.log   | Counting(2)   | 20    | 1.1 ± 0.3   | 0.6616s    | √
ScalObject-bkq.08.log   | Counting(2)+R | 20    | 1.1 ± 0.3   | 0.1655s    | √
ScalObject-bkq.08.log   | Counting(0)   | 20    | 1.1 ± 0.3   | 1.1785s    | -
ScalObject-bkq.08.log   | Counting(0)+R | 20    | 1.1 ± 0.3   | 0.2234s    | -
ScalObject-bkq.08.log   | Symbolic      | 20    | 1.1 ± 0.3   | 0.1687s    | √
ScalObject-bkq.08.log   | Symbolic+R    | 20    | 1.1 ± 0.3   | 0.0316s    | √
ScalObject-bkq.08.log   | Saturate      | 20    | 1.1 ± 0.3   | 0.0041s    | √
ScalObject-bkq.08.log   | Saturate+R    | 20    | 1.1 ± 0.3   | 0.0041s    | √
------------------------+---------------+-------+-------------+------------+--
ScalObject-bkq.09.log   | Enumerate+C   | 20    | 1.0 ± 0.0   | 0.2919s    | √
ScalObject-bkq.09.log   | Counting(4)   | 20    | 1.0 ± 0.0   | 0.5344s    | -
ScalObject-bkq.09.log   | Counting(4)+R | 20    | 1.0 ± 0.0   | 0.289s     | -
ScalObject-bkq.09.log   | Counting(2)   | 20    | 1.0 ± 0.0   | 0.6825s    | -
ScalObject-bkq.09.log   | Counting(2)+R | 20    | 1.0 ± 0.0   | 0.3762s    | -
ScalObject-bkq.09.log   | Counting(0)   | 20    | 1.0 ± 0.0   | 0.7856s    | -
ScalObject-bkq.09.log   | Counting(0)+R | 20    | 1.0 ± 0.0   | 0.4157s    | -
ScalObject-bkq.09.log   | Symbolic      | 20    | 1.0 ± 0.0   | 0.1403s    | √
ScalObject-bkq.09.log   | Symbolic+R    | 20    | 1.0 ± 0.0   | 0.0724s    | √
ScalObject-bkq.09.log   | Saturate      | 20    | 1.0 ± 0.0   | 0.0059s    | √
ScalObject-bkq.09.log   | Saturate+R    | 20    | 1.0 ± 0.0   | 0.0074s    | √
------------------------+---------------+-------+-------------+------------+--
ScalObject-bkq.10.log   | Enumerate+C   | 20    | 1.6 ± 0.8   | 0.5891s    | -
ScalObject-bkq.10.log   | Counting(4)   | 20    | 1.6 ± 0.8   | 0.6636s    | -
ScalObject-bkq.10.log   | Counting(4)+R | 20    | 1.6 ± 0.8   | 0.2427s    | -
ScalObject-bkq.10.log   | Counting(2)   | 20    | 1.6 ± 0.8   | 0.8562s    | -
ScalObject-bkq.10.log   | Counting(2)+R | 20    | 1.6 ± 0.8   | 0.2435s    | -
ScalObject-bkq.10.log   | Counting(0)   | 20    | 1.6 ± 0.8   | 1.2887s    | -
ScalObject-bkq.10.log   | Counting(0)+R | 20    | 1.6 ± 0.8   | 0.2562s    | -
ScalObject-bkq.10.log   | Symbolic      | 20    | 1.6 ± 0.8   | 0.4176s    | -
ScalObject-bkq.10.log   | Symbolic+R    | 20    | 1.6 ± 0.8   | 0.0887s    | -
ScalObject-bkq.10.log   | Saturate      | 20    | 1.6 ± 0.8   | 0.0055s    | -
ScalObject-bkq.10.log   | Saturate+R    | 20    | 1.6 ± 0.8   | 0.0049s    | -
------------------------+---------------+-------+-------------+------------+--
ScalObject-bkq.11.log   | Enumerate+C   | 20    | 1.4 ± 0.5   | 1.0806s    | -
ScalObject-bkq.11.log   | Counting(4)   | 20    | 1.4 ± 0.5   | 0.7031s    | -
ScalObject-bkq.11.log   | Counting(4)+R | 20    | 1.4 ± 0.5   | 0.2548s    | -
ScalObject-bkq.11.log   | Counting(2)   | 20    | 1.4 ± 0.5   | 0.9557s    | -
ScalObject-bkq.11.log   | Counting(2)+R | 20    | 1.4 ± 0.5   | 0.2462s    | -
ScalObject-bkq.11.log   | Counting(0)   | 20    | 1.4 ± 0.5   | 1.1763s    | -
ScalObject-bkq.11.log   | Counting(0)+R | 20    | 1.4 ± 0.5   | 0.3137s    | -
ScalObject-bkq.11.log   | Symbolic      | 20    | 1.4 ± 0.5   | 0.3517s    | -
ScalObject-bkq.11.log   | Symbolic+R    | 20    | 1.4 ± 0.5   | 0.088s     | -
ScalObject-bkq.11.log   | Saturate      | 20    | 1.4 ± 0.5   | 0.0046s    | -
ScalObject-bkq.11.log   | Saturate+R    | 20    | 1.4 ± 0.5   | 0.004s     | -
------------------------+---------------+-------+-------------+------------+--
ScalObject-bkq.12.log   | Enumerate+C   | 20    | 1.5 ± 0.5   | 0.7349s    | -
ScalObject-bkq.12.log   | Counting(4)   | 20    | 1.5 ± 0.5   | 0.7522s    | -
ScalObject-bkq.12.log   | Counting(4)+R | 20    | 1.5 ± 0.5   | 0.281s     | -
ScalObject-bkq.12.log   | Counting(2)   | 20    | 1.5 ± 0.5   | 0.972s     | -
ScalObject-bkq.12.log   | Counting(2)+R | 20    | 1.5 ± 0.5   | 0.2881s    | -
ScalObject-bkq.12.log   | Counting(0)   | 20    | 1.5 ± 0.5   | 1.0574s    | -
ScalObject-bkq.12.log   | Counting(0)+R | 20    | 1.5 ± 0.5   | 0.3121s    | -
ScalObject-bkq.12.log   | Symbolic      | 20    | 1.5 ± 0.5   | 0.3176s    | -
ScalObject-bkq.12.log   | Symbolic+R    | 20    | 1.5 ± 0.5   | 0.1203s    | -
ScalObject-bkq.12.log   | Saturate      | 20    | 1.5 ± 0.5   | 0.0062s    | -
ScalObject-bkq.12.log   | Saturate+R    | 20    | 1.5 ± 0.5   | 0.0053s    | -
------------------------+---------------+-------+-------------+------------+--
ScalObject-bkq.13.log   | Enumerate+C   | 13    | 1.3 ± 0.5   | 0.191s     | √
ScalObject-bkq.13.log   | Counting(4)   | 13    | 1.3 ± 0.5   | 0.14s      | √
ScalObject-bkq.13.log   | Counting(4)+R | 13    | 1.3 ± 0.5   | 0.099s     | √
ScalObject-bkq.13.log   | Counting(2)   | 13    | 1.3 ± 0.5   | 0.1496s    | √
ScalObject-bkq.13.log   | Counting(2)+R | 13    | 1.3 ± 0.5   | 0.1062s    | √
ScalObject-bkq.13.log   | Counting(0)   | 20    | 1.3 ± 0.5   | 1.1749s    | -
ScalObject-bkq.13.log   | Counting(0)+R | 20    | 1.3 ± 0.5   | 0.2855s    | -
ScalObject-bkq.13.log   | Symbolic      | 13    | 1.3 ± 0.5   | 0.0467s    | √
ScalObject-bkq.13.log   | Symbolic+R    | 13    | 1.3 ± 0.5   | 0.0195s    | √
ScalObject-bkq.13.log   | Saturate      | 13    | 1.3 ± 0.5   | 0.0036s    | √
ScalObject-bkq.13.log   | Saturate+R    | 13    | 1.3 ± 0.5   | 0.0039s    | √
------------------------+---------------+-------+-------------+------------+--
ScalObject-bkq.14.log   | Enumerate+C   | 20    | 1.5 ± 0.5   | 0.9659s    | -
ScalObject-bkq.14.log   | Counting(4)   | 20    | 1.5 ± 0.5   | 0.8339s    | -
ScalObject-bkq.14.log   | Counting(4)+R | 20    | 1.5 ± 0.5   | 0.2874s    | -
ScalObject-bkq.14.log   | Counting(2)   | 20    | 1.5 ± 0.5   | 1.1809s    | -
ScalObject-bkq.14.log   | Counting(2)+R | 20    | 1.5 ± 0.5   | 0.3285s    | -
ScalObject-bkq.14.log   | Counting(0)   | 20    | 1.5 ± 0.5   | 1.2592s    | -
ScalObject-bkq.14.log   | Counting(0)+R | 20    | 1.5 ± 0.5   | 0.379s     | -
ScalObject-bkq.14.log   | Symbolic      | 20    | 1.5 ± 0.5   | 0.4096s    | -
ScalObject-bkq.14.log   | Symbolic+R    | 20    | 1.5 ± 0.5   | 0.1392s    | -
ScalObject-bkq.14.log   | Saturate      | 20    | 1.5 ± 0.5   | 0.005s     | -
ScalObject-bkq.14.log   | Saturate+R    | 20    | 1.5 ± 0.5   | 0.0048s    | -
------------------------+---------------+-------+-------------+------------+--
ScalObject-bkq.15.log   | Enumerate+C   | 20    | 2.0 ± 0.9   | 1.3653s    | -
ScalObject-bkq.15.log   | Counting(4)   | 20    | 2.0 ± 0.9   | 1.0454s    | -
ScalObject-bkq.15.log   | Counting(4)+R | 20    | 2.0 ± 0.9   | 0.4151s    | -
ScalObject-bkq.15.log   | Counting(2)   | 20    | 2.0 ± 0.9   | 0.9926s    | -
ScalObject-bkq.15.log   | Counting(2)+R | 20    | 2.0 ± 0.9   | 0.4328s    | -
ScalObject-bkq.15.log   | Counting(0)   | 20    | 2.0 ± 0.9   | 1.2743s    | -
ScalObject-bkq.15.log   | Counting(0)+R | 20    | 2.0 ± 0.9   | 0.5122s    | -
ScalObject-bkq.15.log   | Symbolic      | 20    | 2.0 ± 0.9   | 0.5377s    | -
ScalObject-bkq.15.log   | Symbolic+R    | 20    | 2.0 ± 0.9   | 0.2339s    | -
ScalObject-bkq.15.log   | Saturate      | 20    | 2.0 ± 0.9   | 0.0054s    | -
ScalObject-bkq.15.log   | Saturate+R    | 20    | 2.0 ± 0.9   | 0.0046s    | -
------------------------+---------------+-------+-------------+------------+--
ScalObject-bkq.16.log   | Enumerate+C   | 20    | 1.3 ± 0.5   | 0.5703s    | -
ScalObject-bkq.16.log   | Counting(4)   | 20    | 1.3 ± 0.5   | 0.6715s    | -
ScalObject-bkq.16.log   | Counting(4)+R | 20    | 1.3 ± 0.5   | 0.2391s    | -
ScalObject-bkq.16.log   | Counting(2)   | 20    | 1.3 ± 0.5   | 0.9217s    | -
ScalObject-bkq.16.log   | Counting(2)+R | 20    | 1.3 ± 0.5   | 0.2465s    | -
ScalObject-bkq.16.log   | Counting(0)   | 20    | 1.3 ± 0.5   | 1.1323s    | -
ScalObject-bkq.16.log   | Counting(0)+R | 20    | 1.3 ± 0.5   | 0.2837s    | -
ScalObject-bkq.16.log   | Symbolic      | 20    | 1.3 ± 0.5   | 0.3563s    | -
ScalObject-bkq.16.log   | Symbolic+R    | 20    | 1.3 ± 0.5   | 0.0794s    | -
