# data/report-Dec-01-2014-17h41.txt
Generating reports for examples/generated/small/**/*.log
------------------------------------------------------------------------------
               examples/generated/small/**/*.log (timeout 10s)                
------------------------------------------------------------------------------
history                 | algorithm     | steps | concurrency | time       | v
ScalObject-bkq.09.log   | Counting(2)+R | 20    | 1.0±0.0     | 0.372s     | -
ScalObject-bkq.09.log   | Counting(0)   | 20    | 1.0±0.0     | 1.0454s    | -
ScalObject-bkq.09.log   | Counting(0)+R | 20    | 1.0±0.0     | 0.3764s    | -
ScalObject-bkq.09.log   | Symbolic      | 20    | 1.0±0.0     | 0.1532s    | √
ScalObject-bkq.09.log   | Symbolic+R    | 20    | 1.0±0.0     | 0.0816s    | √
ScalObject-bkq.09.log   | Saturate      | 20    | 1.0±0.0     | 0.0101s    | √
ScalObject-bkq.09.log   | Saturate+R    | 20    | 1.0±0.0     | 0.0106s    | √
------------------------+---------------+-------+-------------+------------+--
ScalObject-bkq.10.log   | Enumerate+C   | 20    | 1.6±0.8     | 0.6748s    | -
ScalObject-bkq.10.log   | Counting(4)   | 20    | 1.6±0.8     | 0.738s     | -
ScalObject-bkq.10.log   | Counting(4)+R | 20    | 1.6±0.8     | 0.25s      | -
ScalObject-bkq.10.log   | Counting(2)   | 20    | 1.6±0.8     | 0.9224s    | -
ScalObject-bkq.10.log   | Counting(2)+R | 20    | 1.6±0.8     | 0.2638s    | -
ScalObject-bkq.10.log   | Counting(0)   | 20    | 1.6±0.8     | 1.2911s    | -
ScalObject-bkq.10.log   | Counting(0)+R | 20    | 1.6±0.8     | 0.2665s    | -
ScalObject-bkq.10.log   | Symbolic      | 20    | 1.6±0.8     | 0.4623s    | -
ScalObject-bkq.10.log   | Symbolic+R    | 20    | 1.6±0.8     | 0.0755s    | -
ScalObject-bkq.10.log   | Saturate      | 20    | 1.6±0.8     | 0.0096s    | -
ScalObject-bkq.10.log   | Saturate+R    | 20    | 1.6±0.8     | 0.0088s    | -
------------------------+---------------+-------+-------------+------------+--
ScalObject-bkq.11.log   | Enumerate+C   | 20    | 1.4±0.5     | 1.243s     | -
ScalObject-bkq.11.log   | Counting(4)   | 20    | 1.4±0.5     | 0.6025s    | -
ScalObject-bkq.11.log   | Counting(4)+R | 20    | 1.4±0.5     | 0.252s     | -
ScalObject-bkq.11.log   | Counting(2)   | 20    | 1.4±0.5     | 1.0068s    | -
ScalObject-bkq.11.log   | Counting(2)+R | 20    | 1.4±0.5     | 0.2616s    | -
ScalObject-bkq.11.log   | Counting(0)   | 20    | 1.4±0.5     | 1.3901s    | -
ScalObject-bkq.11.log   | Counting(0)+R | 20    | 1.4±0.5     | 0.2866s    | -
ScalObject-bkq.11.log   | Symbolic      | 20    | 1.4±0.5     | 0.3692s    | -
ScalObject-bkq.11.log   | Symbolic+R    | 20    | 1.4±0.5     | 0.0706s    | -
ScalObject-bkq.11.log   | Saturate      | 20    | 1.4±0.5     | 0.0079s    | -
ScalObject-bkq.11.log   | Saturate+R    | 20    | 1.4±0.5     | 0.008s     | -
------------------------+---------------+-------+-------------+------------+--
ScalObject-bkq.12.log   | Enumerate+C   | 20    | 1.5±0.5     | 0.8914s    | -
ScalObject-bkq.12.log   | Counting(4)   | 20    | 1.5±0.5     | 0.7708s    | -
ScalObject-bkq.12.log   | Counting(4)+R | 20    | 1.5±0.5     | 0.2583s    | -
ScalObject-bkq.12.log   | Counting(2)   | 20    | 1.5±0.5     | 1.0518s    | -
ScalObject-bkq.12.log   | Counting(2)+R | 20    | 1.5±0.5     | 0.2821s    | -
ScalObject-bkq.12.log   | Counting(0)   | 20    | 1.5±0.5     | 1.2295s    | -
ScalObject-bkq.12.log   | Counting(0)+R | 20    | 1.5±0.5     | 0.2992s    | -
ScalObject-bkq.12.log   | Symbolic      | 20    | 1.5±0.5     | 0.3169s    | -
ScalObject-bkq.12.log   | Symbolic+R    | 20    | 1.5±0.5     | 0.1073s    | -
