history	object	algorithm	steps	concurrency	time	violation
ScalObject-msq.1.log	atomic-queue	Counting(4)	43*	3.7±1.4	30.7362s*	false
ScalObject-msq.1.log	atomic-queue	Counting(4)+R	246*	3.7±1.2	25.0039s*	false
ScalObject-msq.1.log	atomic-queue	Symbolic	45*	3.8±1.5	26.1666s*	false
ScalObject-msq.1.log	atomic-queue	Symbolic+R	292*	3.7±1.1	25.4832s*	false
ScalObject-msq.1.log	atomic-queue	Saturate	489*	3.6±0.9	25.0037s*	false
ScalObject-msq.1.log	atomic-queue	Saturate+R	2242*	3.5±0.9	25.0048s*	false
ScalObject-msq.2.log	atomic-queue	Enumerate+C	19*	3.3±1.7	25.0042s*	false
ScalObject-msq.2.log	atomic-queue	Counting(4)	46*	3.1±1.6	33.3233s*	false
ScalObject-msq.2.log	atomic-queue	Counting(4)+R	104*	3.5±1.4	25.448s*	false
ScalObject-msq.2.log	atomic-queue	Symbolic	46*	3.1±1.6	26.2312s*	false
ScalObject-msq.2.log	atomic-queue	Symbolic+R	212*	3.5±1.2	25.337s*	false
ScalObject-msq.2.log	atomic-queue	Saturate	517*	3.7±1.1	25.0053s*	false
ScalObject-msq.2.log	atomic-queue	Saturate+R	1480*	3.2 ± 1.1	25.1028s*	false
ScalObject-msq.3.log	atomic-queue	Enumerate+C	68*	1.0 ± 0.0	26.0923s*	false
ScalObject-msq.3.log	atomic-queue	Counting(4)	42*	1.0 ± 0.0	29.2826s*	false
ScalObject-msq.3.log	atomic-queue	Counting(4)+R	968*	1.0 ± 0.0	25.1389s*	false
ScalObject-msq.3.log	atomic-queue	Symbolic	68*	1.0 ± 0.0	25.2366s*	false
ScalObject-msq.3.log	atomic-queue	Symbolic+R	1024*	1.1 ± 0.4	29.6121s*	false
ScalObject-msq.3.log	atomic-queue	Saturate	476*	1.0 ± 0.0	25.0058s*	false
ScalObject-msq.3.log	atomic-queue	Saturate+R	1833*	1.9 ± 1.2	25.0015s*	false
ScalObject-msq.4.log	atomic-queue	Enumerate+C	68*	1.0 ± 0.0	25.7488s*	false
ScalObject-msq.4.log	atomic-queue	Counting(4)	42*	1.0 ± 0.0	29.3695s*	false
ScalObject-msq.4.log	atomic-queue	Counting(4)+R	164*	1.0 ± 0.0	25.0665s*	false
ScalObject-msq.4.log	atomic-queue	Symbolic	68*	1.0 ± 0.0	25.0425s*	false
ScalObject-msq.4.log	atomic-queue	Symbolic+R	1466*	1.0 ± 0.0	25.0468s*	false
ScalObject-msq.4.log	atomic-queue	Saturate	490*	1.0 ± 0.0	25.0041s*	false
ScalObject-msq.4.log	atomic-queue	Saturate+R	2423*	2.0 ± 1.4	25.0017s*	false
ScalObject-msq.5.log	atomic-queue	Enumerate+C	39*	3.5 ± 1.1	25.0033s*	false
ScalObject-msq.5.log	atomic-queue	Counting(4)	41*	3.5 ± 1.1	25.1475s*	false
ScalObject-msq.5.log	atomic-queue	Counting(4)+R	94*	3.9 ± 0.9	27.0665s*	false
ScalObject-msq.5.log	atomic-queue	Symbolic	46*	3.4 ± 1.1	25.5661s*	false
ScalObject-msq.5.log	atomic-queue	Symbolic+R	130*	3.7 ± 0.9	25.6022s*	false
ScalObject-msq.5.log	atomic-queue	Saturate	504*	3.5 ± 1.0	25.0022s*	false
ScalObject-msq.5.log	atomic-queue	Saturate+R	1440*	3.9 ± 1.1	25.1041s*	false
ScalObject-msq.6.log	atomic-queue	Enumerate+C	17*	3.6 ± 1.4	25.0166s*	false
ScalObject-msq.6.log	atomic-queue	Counting(4)	39*	4.0 ± 1.7	28.9247s*	false
ScalObject-msq.6.log	atomic-queue	Counting(4)+R	74*	4.2 ± 1.5	26.518s*	false
ScalObject-msq.6.log	atomic-queue	Symbolic	50*	3.8 ± 1.6	27.8312s*	false
ScalObject-msq.6.log	atomic-queue	Symbolic+R	78*	4.2 ± 1.4	26.8484s*	false
ScalObject-msq.6.log	atomic-queue	Saturate	482*	3.9 ± 1.1	25.0048s*	false
ScalObject-msq.6.log	atomic-queue	Saturate+R	1805*	3.6 ± 1.1	25.0072s*	false
ScalObject-msq.7.log	atomic-queue	Enumerate+C	18*	3.5 ± 1.1	25.0084s*	false
ScalObject-msq.7.log	atomic-queue	Counting(4)	41*	3.0 ± 0.9	28.761s*	false
ScalObject-msq.7.log	atomic-queue	Counting(4)+R	85*	3.0 ± 0.7	29.1953s*	false
ScalObject-msq.7.log	atomic-queue	Symbolic	48*	2.9 ± 0.9	28.8217s*	false
ScalObject-msq.7.log	atomic-queue	Symbolic+R	111*	3.3 ± 0.8	25.068s*	false
ScalObject-msq.7.log	atomic-queue	Saturate	512*	4.1 ± 1.1	25.004s*	false
ScalObject-msq.7.log	atomic-queue	Saturate+R	3174*	3.6 ± 1.0	25.0065s*	false
ScalObject-msq.8.log	atomic-queue	Enumerate+C	17*	3.3 ± 1.0	25.0062s*	false
ScalObject-msq.8.log	atomic-queue	Counting(4)	41*	3.4 ± 1.0	30.9286s*	false
ScalObject-msq.8.log	atomic-queue	Counting(4)+R	199*	3.6 ± 1.1	25.5223s*	false
ScalObject-msq.8.log	atomic-queue	Symbolic	45*	3.3 ± 1.0	27.4022s*	false
ScalObject-msq.8.log	atomic-queue	Symbolic+R	212*	3.6 ± 1.1	25.8769s*	false
ScalObject-msq.8.log	atomic-queue	Saturate	493*	3.6 ± 1.1	25.0072s*	false
ScalObject-msq.8.log	atomic-queue	Saturate+R	3644*	3.6 ± 1.0	25.0042s*	false
ScalObject-msq.9.log	atomic-queue	Enumerate+C	24*	3.1 ± 0.7	25.0321s*	false
ScalObject-msq.9.log	atomic-queue	Counting(4)	38*	3.2 ± 0.6	27.5237s*	false
ScalObject-msq.9.log	atomic-queue	Counting(4)+R	107*	3.2 ± 0.9	25.3725s*	false
ScalObject-msq.9.log	atomic-queue	Symbolic	49*	3.0 ± 0.7	26.2781s*	false
ScalObject-msq.9.log	atomic-queue	Symbolic+R	245*	3.4 ± 1.0	25.0729s*	false
ScalObject-msq.9.log	atomic-queue	Saturate	490*	3.5 ± 0.9	25.003s*	false
ScalObject-msq.9.log	atomic-queue	Saturate+R	2720*	3.5 ± 1.0	25.004s*	false
ScalObject-msq.0.log	atomic-queue	Enumerate+C	36*	3.8 ± 0.7	50.024s*	false
ScalObject-msq.0.log	atomic-queue	Counting(4)	50*	3.8 ± 1.0	64.462s*	false
ScalObject-msq.0.log	atomic-queue	Counting(4)+R	106*	3.5 ± 1.0	50.3635s*	false
ScalObject-msq.0.log	atomic-queue	Symbolic	52*	3.8 ± 1.0	61.8548s*	false
ScalObject-msq.0.log	atomic-queue	Symbolic+R	168*	3.5 ± 0.9	50.1315s*	false
ScalObject-msq.0.log	atomic-queue	Saturate	603*	3.1 ± 0.9	50.0038s*	false
ScalObject-msq.0.log	atomic-queue	Saturate+R	5864*	3.0 ± 0.9	50.0049s*	false
ScalObject-msq.1.log	atomic-queue	Enumerate+C	17*	3.4 ± 1.6	50.0226s*	false
ScalObject-msq.1.log	atomic-queue	Counting(4)	45*	3.8 ± 1.5	59.0318s*	false
ScalObject-msq.1.log	atomic-queue	Counting(4)+R	285*	3.6 ± 1.1	51.404s*	false
ScalObject-msq.1.log	atomic-queue	Symbolic	51*	4.0 ± 1.5	55.596s*	false
ScalObject-msq.1.log	atomic-queue	Symbolic+R	314*	3.7 ± 1.1	50.3206s*	false
ScalObject-msq.1.log	atomic-queue	Saturate	604*	3.6 ± 1.0	50.0014s*	false
ScalObject-msq.1.log	atomic-queue	Saturate+R	2754*	3.5 ± 0.9	50.0004s*	false
ScalObject-msq.2.log	atomic-queue	Enumerate+C	31*	3.4 ± 1.7	50.0107s*	false
ScalObject-msq.2.log	atomic-queue	Counting(4)	49*	3.2 ± 1.6	66.5922s*	false
ScalObject-msq.2.log	atomic-queue	Counting(4)+R	206*	3.6 ± 1.2	50.1655s*	false
ScalObject-msq.2.log	atomic-queue	Symbolic	53*	3.1 ± 1.6	53.8243s*	false
ScalObject-msq.2.log	atomic-queue	Symbolic+R	228*	3.5 ± 1.1	52.6334s*	false
ScalObject-msq.2.log	atomic-queue	Saturate	640*	3.4 ± 1.3	50.0066s*	false
ScalObject-msq.2.log	atomic-queue	Saturate+R	1586*	3.2 ± 1.0	50.0021s*	false
ScalObject-msq.3.log	atomic-queue	Enumerate+C	78*	1.0 ± 0.0	52.5614s*	false
ScalObject-msq.3.log	atomic-queue	Counting(4)	46*	1.0 ± 0.0	53.6088s*	false
ScalObject-msq.3.log	atomic-queue	Counting(4)+R	1018*	1.1 ± 0.4	53.064s*	false
ScalObject-msq.3.log	atomic-queue	Symbolic	80*	1.0 ± 0.0	55.6753s*	false
ScalObject-msq.3.log	atomic-queue	Symbolic+R	1031*	1.1 ± 0.4	52.0732s*	false
ScalObject-msq.3.log	atomic-queue	Saturate	604*	1.0 ± 0.0	50.0027s*	false
ScalObject-msq.3.log	atomic-queue	Saturate+R	2833*	2.3 ± 1.3	50.0066s*	false
ScalObject-msq.4.log	atomic-queue	Enumerate+C	80*	1.0 ± 0.0	56.6083s*	false
ScalObject-msq.4.log	atomic-queue	Counting(4)	48*	1.0 ± 0.0	55.8602s*	false
ScalObject-msq.4.log	atomic-queue	Counting(4)+R	386*	1.0 ± 0.0	50.0067s*	false
ScalObject-msq.4.log	atomic-queue	Symbolic	80*	1.0 ± 0.0	54.1644s*	false
ScalObject-msq.4.log	atomic-queue	Symbolic+R	1505*	1.1 ± 0.3	58.0891s*	false
ScalObject-msq.4.log	atomic-queue	Saturate	602*	1.0 ± 0.0	50.0036s*	false
ScalObject-msq.4.log	atomic-queue	Saturate+R	3457*	2.4 ± 1.5	50.0024s*	false
ScalObject-msq.5.log	atomic-queue	Enumerate+C	39*	3.5 ± 1.1	50.0012s*	false
ScalObject-msq.5.log	atomic-queue	Counting(4)	46*	3.4 ± 1.1	50.6522s*	false
ScalObject-msq.5.log	atomic-queue	Counting(4)+R	134*	3.6 ± 0.9	54.675s*	false
ScalObject-msq.5.log	atomic-queue	Symbolic	53*	3.5 ± 1.0	50.4682s*	false
ScalObject-msq.5.log	atomic-queue	Symbolic+R	305*	3.6 ± 0.8	50.1364s*	false
ScalObject-msq.5.log	atomic-queue	Saturate	622*	3.5 ± 1.1	50.0046s*	false
ScalObject-msq.5.log	atomic-queue	Saturate+R	1545*	3.9 ± 1.1	50.003s*	false
ScalObject-msq.6.log	atomic-queue	Enumerate+C	17*	3.6 ± 1.4	50.012s*	false
ScalObject-msq.6.log	atomic-queue	Counting(4)	43*	3.8 ± 1.7	53.9494s*	false
ScalObject-msq.6.log	atomic-queue	Counting(4)+R	78*	4.2 ± 1.4	52.9376s*	false
ScalObject-msq.6.log	atomic-queue	Symbolic	54*	3.9 ± 1.6	60.1775s*	false
ScalObject-msq.6.log	atomic-queue	Symbolic+R	86*	4.3 ± 1.4	54.1131s*	false
ScalObject-msq.6.log	atomic-queue	Saturate	601*	3.8 ± 1.1	50.0026s*	false
ScalObject-msq.6.log	atomic-queue	Saturate+R	1951*	3.6 ± 1.0	50.1059s*	false
ScalObject-msq.7.log	atomic-queue	Enumerate+C	19*	3.4 ± 1.1	50.0188s*	false
ScalObject-msq.7.log	atomic-queue	Counting(4)	46*	2.9 ± 0.9	65.0392s*	false
ScalObject-msq.7.log	atomic-queue	Counting(4)+R	195*	3.4 ± 1.0	50.8271s*	false
ScalObject-msq.7.log	atomic-queue	Symbolic	55*	3.0 ± 0.9	60.4627s*	false
ScalObject-msq.7.log	atomic-queue	Symbolic+R	209*	3.4 ± 1.0	53.5167s*	false
ScalObject-msq.7.log	atomic-queue	Saturate	628*	3.9 ± 1.2	50.0025s*	false
ScalObject-msq.7.log	atomic-queue	Saturate+R	7266*	3.6 ± 1.1	50.206s*	false
ScalObject-msq.8.log	atomic-queue	Enumerate+C	19*	3.4 ± 1.0	50.0114s*	false
ScalObject-msq.8.log	atomic-queue	Counting(4)	45*	3.3 ± 1.0	55.2849s*	false
ScalObject-msq.8.log	atomic-queue	Counting(4)+R	214*	3.5 ± 1.1	60.1464s*	false
ScalObject-msq.8.log	atomic-queue	Symbolic	52*	3.4 ± 1.1	54.4849s*	false
ScalObject-msq.8.log	atomic-queue	Symbolic+R	252*	3.5 ± 1.2	51.5958s*	false
ScalObject-msq.8.log	atomic-queue	Saturate	622*	3.6 ± 1.1	50.0032s*	false
ScalObject-msq.8.log	atomic-queue	Saturate+R	5088*	3.5 ± 1.1	50.0026s*	false
ScalObject-msq.9.log	atomic-queue	Enumerate+C	28*	3.1 ± 0.6	50.0023s*	false
ScalObject-msq.9.log	atomic-queue	Counting(4)	43*	3.1 ± 0.6	58.3051s*	false
ScalObject-msq.9.log	atomic-queue	Counting(4)+R	219*	3.4 ± 1.0	50.4996s*	false
ScalObject-msq.9.log	atomic-queue	Symbolic	57*	2.9 ± 0.7	60.8863s*	false
