history	object	algorithm	steps	concurrency	time	violation
ScalObject-bkq.11.log	atomic-queue	Counting(0)	20	1.4 ± 0.5	1.1265s	false
ScalObject-bkq.11.log	atomic-queue	Counting(0)+R	20	1.4 ± 0.5	0.3185s	false
ScalObject-bkq.11.log	atomic-queue	Symbolic	20	1.4 ± 0.5	0.3457s	false
ScalObject-bkq.11.log	atomic-queue	Symbolic+R	20	1.4 ± 0.5	0.082s	false
ScalObject-bkq.11.log	atomic-queue	Saturate	20	1.4 ± 0.5	0.0046s	false
ScalObject-bkq.11.log	atomic-queue	Saturate+R	20	1.4 ± 0.5	0.0042s	false
ScalObject-bkq.12.log	atomic-queue	Enumerate+C	20	1.5 ± 0.5	0.7022s	false
ScalObject-bkq.12.log	atomic-queue	Counting(4)	20	1.5 ± 0.5	0.7411s	false
ScalObject-bkq.12.log	atomic-queue	Counting(4)+R	20	1.5 ± 0.5	0.2695s	false
ScalObject-bkq.12.log	atomic-queue	Counting(2)	20	1.5 ± 0.5	0.9558s	false
ScalObject-bkq.12.log	atomic-queue	Counting(2)+R	20	1.5 ± 0.5	0.2893s	false
ScalObject-bkq.12.log	atomic-queue	Counting(0)	20	1.5 ± 0.5	1.0441s	false
ScalObject-bkq.12.log	atomic-queue	Counting(0)+R	20	1.5 ± 0.5	0.3103s	false
ScalObject-bkq.12.log	atomic-queue	Symbolic	20	1.5 ± 0.5	0.3128s	false
ScalObject-bkq.12.log	atomic-queue	Symbolic+R	20	1.5 ± 0.5	0.1162s	false
ScalObject-bkq.12.log	atomic-queue	Saturate	20	1.5 ± 0.5	0.0055s	false
ScalObject-bkq.12.log	atomic-queue	Saturate+R	20	1.5 ± 0.5	0.0053s	false
ScalObject-bkq.13.log	atomic-queue	Enumerate+C	13	1.3 ± 0.5	0.1843s	true
ScalObject-bkq.13.log	atomic-queue	Counting(4)	13	1.3 ± 0.5	0.132s	true
ScalObject-bkq.13.log	atomic-queue	Counting(4)+R	13	1.3 ± 0.5	0.1025s	true
ScalObject-bkq.13.log	atomic-queue	Counting(2)	13	1.3 ± 0.5	0.152s	true
ScalObject-bkq.13.log	atomic-queue	Counting(2)+R	13	1.3 ± 0.5	0.0951s	true
ScalObject-bkq.13.log	atomic-queue	Counting(0)	20	1.3 ± 0.5	1.1463s	false
ScalObject-bkq.13.log	atomic-queue	Counting(0)+R	20	1.3 ± 0.5	0.2807s	false
ScalObject-bkq.13.log	atomic-queue	Symbolic	13	1.3 ± 0.5	0.0488s	true
ScalObject-bkq.13.log	atomic-queue	Symbolic+R	13	1.3 ± 0.5	0.0224s	true
ScalObject-bkq.13.log	atomic-queue	Saturate	13	1.3 ± 0.5	0.0035s	true
ScalObject-bkq.13.log	atomic-queue	Saturate+R	13	1.3 ± 0.5	0.0042s	true
ScalObject-bkq.14.log	atomic-queue	Enumerate+C	20	1.5 ± 0.5	0.9252s	false
ScalObject-bkq.14.log	atomic-queue	Counting(4)	20	1.5 ± 0.5	0.8285s	false
ScalObject-bkq.14.log	atomic-queue	Counting(4)+R	20	1.5 ± 0.5	0.2843s	false
ScalObject-bkq.14.log	atomic-queue	Counting(2)	20	1.5 ± 0.5	1.1279s	false
ScalObject-bkq.14.log	atomic-queue	Counting(2)+R	20	1.5 ± 0.5	0.3299s	false
ScalObject-bkq.14.log	atomic-queue	Counting(0)	20	1.5 ± 0.5	1.2229s	false
ScalObject-bkq.14.log	atomic-queue	Counting(0)+R	20	1.5 ± 0.5	0.3798s	false
ScalObject-bkq.14.log	atomic-queue	Symbolic	20	1.5 ± 0.5	0.3946s	false
ScalObject-bkq.14.log	atomic-queue	Symbolic+R	20	1.5 ± 0.5	0.1404s	false
ScalObject-bkq.14.log	atomic-queue	Saturate	20	1.5 ± 0.5	0.0041s	false
ScalObject-bkq.14.log	atomic-queue	Saturate+R	20	1.5 ± 0.5	0.0046s	false
ScalObject-bkq.15.log	atomic-queue	Enumerate+C	20	2.0 ± 0.9	1.3325s	false
ScalObject-bkq.15.log	atomic-queue	Counting(4)	20	2.0 ± 0.9	1.0448s	false
ScalObject-bkq.15.log	atomic-queue	Counting(4)+R	20	2.0 ± 0.9	0.4042s	false
ScalObject-bkq.15.log	atomic-queue	Counting(2)	20	2.0 ± 0.9	0.9755s	false
ScalObject-bkq.15.log	atomic-queue	Counting(2)+R	20	2.0 ± 0.9	0.4137s	false
ScalObject-bkq.15.log	atomic-queue	Counting(0)	20	2.0 ± 0.9	1.2918s	false
ScalObject-bkq.15.log	atomic-queue	Counting(0)+R	20	2.0 ± 0.9	0.5018s	false
ScalObject-bkq.15.log	atomic-queue	Symbolic	20	2.0 ± 0.9	0.5293s	false
ScalObject-bkq.15.log	atomic-queue	Symbolic+R	20	2.0 ± 0.9	0.2247s	false
ScalObject-bkq.15.log	atomic-queue	Saturate	20	2.0 ± 0.9	0.0048s	false
ScalObject-bkq.15.log	atomic-queue	Saturate+R	20	2.0 ± 0.9	0.0046s	false
ScalObject-bkq.16.log	atomic-queue	Enumerate+C	20	1.3 ± 0.5	0.5595s	false
ScalObject-bkq.16.log	atomic-queue	Counting(4)	20	1.3 ± 0.5	0.6642s	false
ScalObject-bkq.16.log	atomic-queue	Counting(4)+R	20	1.3 ± 0.5	0.2346s	false
ScalObject-bkq.16.log	atomic-queue	Counting(2)	20	1.3 ± 0.5	0.9337s	false
ScalObject-bkq.16.log	atomic-queue	Counting(2)+R	20	1.3 ± 0.5	0.2464s	false
ScalObject-bkq.16.log	atomic-queue	Counting(0)	20	1.3 ± 0.5	1.1285s	false
ScalObject-bkq.16.log	atomic-queue	Counting(0)+R	20	1.3 ± 0.5	0.2798s	false
ScalObject-bkq.16.log	atomic-queue	Symbolic	20	1.3 ± 0.5	0.3714s	false
ScalObject-bkq.16.log	atomic-queue	Symbolic+R	20	1.3 ± 0.5	0.0766s	false
ScalObject-bkq.16.log	atomic-queue	Saturate	20	1.3 ± 0.5	0.0042s	false
ScalObject-bkq.16.log	atomic-queue	Saturate+R	20	1.3 ± 0.5	0.0053s	false
ScalObject-bkq.17.log	atomic-queue	Enumerate+C	6	1.0 ± 0.0	0.0464s	true
ScalObject-bkq.17.log	atomic-queue	Counting(4)	6	1.0 ± 0.0	0.0457s	true
ScalObject-bkq.17.log	atomic-queue	Counting(4)+R	6	1.0 ± 0.0	0.0449s	true
ScalObject-bkq.17.log	atomic-queue	Counting(2)	6	1.0 ± 0.0	0.0447s	true
ScalObject-bkq.17.log	atomic-queue	Counting(2)+R	6	1.0 ± 0.0	0.0506s	true
ScalObject-bkq.17.log	atomic-queue	Counting(0)	20	1.0 ± 0.0	1.1806s	false
ScalObject-bkq.17.log	atomic-queue	Counting(0)+R	20	1.0 ± 0.0	0.2269s	false
ScalObject-bkq.17.log	atomic-queue	Symbolic	6	1.0 ± 0.0	0.0115s	true
ScalObject-bkq.17.log	atomic-queue	Symbolic+R	6	1.0 ± 0.0	0.0111s	true
ScalObject-bkq.17.log	atomic-queue	Saturate	6	1.0 ± 0.0	0.0033s	true
ScalObject-bkq.17.log	atomic-queue	Saturate+R	6	1.0 ± 0.0	0.0031s	true
ScalObject-bkq.18.log	atomic-queue	Enumerate+C	20	1.1 ± 0.3	0.3149s	false
ScalObject-bkq.18.log	atomic-queue	Counting(4)	20	1.1 ± 0.3	0.5724s	false
ScalObject-bkq.18.log	atomic-queue	Counting(4)+R	20	1.1 ± 0.3	0.1932s	false
ScalObject-bkq.18.log	atomic-queue	Counting(2)	20	1.1 ± 0.3	0.9709s	false
ScalObject-bkq.18.log	atomic-queue	Counting(2)+R	20	1.1 ± 0.3	0.2093s	false
ScalObject-bkq.18.log	atomic-queue	Counting(0)	20	1.1 ± 0.3	1.0046s	false
ScalObject-bkq.18.log	atomic-queue	Counting(0)+R	20	1.1 ± 0.3	0.2376s	false
ScalObject-bkq.18.log	atomic-queue	Symbolic	20	1.1 ± 0.3	0.196s	false
ScalObject-bkq.18.log	atomic-queue	Symbolic+R	20	1.1 ± 0.3	0.0579s	false
ScalObject-bkq.18.log	atomic-queue	Saturate	20	1.1 ± 0.3	0.0056s	false
ScalObject-bkq.18.log	atomic-queue	Saturate+R	20	1.1 ± 0.3	0.0048s	false
ScalObject-bkq.19.log	atomic-queue	Enumerate+C	20	1.0 ± 0.0	0.3377s	false
ScalObject-bkq.19.log	atomic-queue	Counting(4)	20	1.0 ± 0.0	0.6264s	false
ScalObject-bkq.19.log	atomic-queue	Counting(4)+R	20	1.0 ± 0.0	0.1523s	false
ScalObject-bkq.19.log	atomic-queue	Counting(2)	20	1.0 ± 0.0	0.6915s	false
ScalObject-bkq.19.log	atomic-queue	Counting(2)+R	20	1.0 ± 0.0	0.1541s	false
ScalObject-bkq.19.log	atomic-queue	Counting(0)	20	1.0 ± 0.0	1.0982s	false
ScalObject-bkq.19.log	atomic-queue	Counting(0)+R	20	1.0 ± 0.0	0.1592s	false
ScalObject-bkq.19.log	atomic-queue	Symbolic	20	1.0 ± 0.0	0.1846s	false
ScalObject-bkq.19.log	atomic-queue	Symbolic+R	20	1.0 ± 0.0	0.0219s	false
ScalObject-bkq.19.log	atomic-queue	Saturate	20	1.0 ± 0.0	0.0039s	false
ScalObject-bkq.19.log	atomic-queue	Saturate+R	20	1.0 ± 0.0	0.0038s	false
ScalObject-bkq.20.log	atomic-queue	Enumerate+C	11	1.4 ± 0.5	0.1467s	true
ScalObject-bkq.20.log	atomic-queue	Counting(4)	11	1.4 ± 0.5	0.0954s	true
ScalObject-bkq.20.log	atomic-queue	Counting(4)+R	11	1.4 ± 0.5	0.0879s	true
ScalObject-bkq.20.log	atomic-queue	Counting(2)	11	1.4 ± 0.5	0.1093s	true
ScalObject-bkq.20.log	atomic-queue	Counting(2)+R	11	1.4 ± 0.5	0.0883s	true
ScalObject-bkq.20.log	atomic-queue	Counting(0)	20	1.5 ± 0.5	1.1632s	false
ScalObject-bkq.20.log	atomic-queue	Counting(0)+R	20	1.5 ± 0.5	0.3827s	false
ScalObject-bkq.20.log	atomic-queue	Symbolic	11	1.4 ± 0.5	0.0397s	true
ScalObject-bkq.20.log	atomic-queue	Symbolic+R	11	1.4 ± 0.5	0.0279s	true
ScalObject-bkq.20.log	atomic-queue	Saturate	11	1.4 ± 0.5	0.0036s	true
ScalObject-bkq.20.log	atomic-queue	Saturate+R	11	1.4 ± 0.5	0.0043s	true
ScalObject-bkq.21.log	atomic-queue	Enumerate+C	20*	2.2 ± 0.9	10.0149s*	false
ScalObject-bkq.21.log	atomic-queue	Counting(4)	20	2.2 ± 0.9	1.018s	false
ScalObject-bkq.21.log	atomic-queue	Counting(4)+R	20	2.2 ± 0.9	0.6953s	false
ScalObject-bkq.21.log	atomic-queue	Counting(2)	20	2.2 ± 0.9	1.38s	false
