history	object	algorithm	removal	violation	timeout	stepout	steps	checks	size.min	size.max	size.mean	size.sigma	width.min	width.max	width.mean	width.sigma	weight.min	weight.max	weight.mean	weight.sigma	memory	time
ScalObject-msq.3.log	atomic-queue	Enumerate	false	false	true	false	92	46	0	46	23.0	13.358127130685665	1	1	1.0	0.0	0	26	14.76086956521739	6.7910244015435755	13024	102.15882
ScalObject-msq.3.log	atomic-queue	Bound(4)	false	false	true	false	54	27	0	27	13.5	7.8782001584022385	1	1	1.0	0.0	0	18	10.537037037037036	5.424309235086772	13616	102.880848
ScalObject-msq.3.log	atomic-queue	Bound(4)	true	false	true	false	1022	510	0	24	5.004892367906066	3.334292709530916	1	3	1.0714285714285714	0.3700143130430541	0	17	4.865949119373777	2.8602163280161474	13268	110.86858
ScalObject-msq.3.log	atomic-queue	Symbolic	false	false	true	false	92	46	0	46	23.0	13.358127130685665	1	1	1.0	0.0	0	26	14.76086956521739	6.7910244015435755	15784	108.237748
ScalObject-msq.3.log	atomic-queue	Symbolic	true	false	true	false	1069	532	0	35	5.998129092609916	5.732324751636618	1	6	1.2188961646398504	0.7972202980529282	0	24	5.528531337698784	4.196081170041961	16020	101.098474
ScalObject-msq.3.log	atomic-queue	Saturate	false	false	true	false	900	449	0	450	225.0	129.97668140310813	1	1	1.0	0.0	0	234	119.60888888888888	67.20185528393371	13072	100.014471
ScalObject-msq.3.log	atomic-queue	Saturate	true	false	true	false	3579	1787	0	332	77.72394523609947	79.56745007002874	1	6	2.657725621682034	1.4074498231298846	0	176	45.49762503492596	41.21084699388336	11824	100.014371
ScalObject-msq.4.log	atomic-queue	Enumerate	false	false	true	false	92	46	0	46	23.0	13.358127130685665	1	1	1.0	0.0	0	28	15.73913043478261	8.157608954278924	12512	101.932368
ScalObject-msq.4.log	atomic-queue	Bound(4)	false	false	true	false	56	28	0	28	14.0	8.16645021358173	1	1	1.0	0.0	0	19	10.571428571428571	5.786684222049297	13032	129.748107
ScalObject-msq.4.log	atomic-queue	Bound(4)	true	false	true	false	1094	547	0	19	6.944241316270567	4.025944988065302	1	1	1.0	0.0	0	19	6.944241316270567	4.025944988065302	13500	100.242094
ScalObject-msq.4.log	atomic-queue	Symbolic	false	false	true	false	90	45	0	45	22.5	13.069606219835892	1	1	1.0	0.0	0	28	15.477777777777778	8.053511730047799	16732	101.393075
ScalObject-msq.4.log	atomic-queue	Symbolic	true	false	true	false	1523	760	0	37	7.4103742613263295	5.290292853904494	1	4	1.087327642810243	0.46661572930472917	0	29	7.286277084701248	4.823642986684406	15972	106.17002
ScalObject-msq.4.log	atomic-queue	Saturate	false	false	true	false	858	428	0	429	214.5	123.91453796381789	1	1	1.0	0.0	0	222	113.3974358974359	62.69056338776287	12232	100.005095
ScalObject-msq.4.log	atomic-queue	Saturate	true	false	true	false	3935	1965	0	245	57.828208386277	60.798277702986866	1	6	2.6820838627700128	1.5846947581292965	0	157	39.17712833545108	37.559272057998356	12832	100.012562
ScalObject-msq.5.log	atomic-queue	Enumerate	false	false	true	false	41	19	0	22	11.487804878048781	6.164908560633775	1	5	3.5121951219512195	1.0752197733373445	0	17	8.975609756097562	4.7195752185872015	12480	100.012278
ScalObject-msq.5.log	atomic-queue	Bound(4)	false	false	true	false	57	27	0	30	15.491228070175438	8.420050065633188	1	5	3.508771929824561	0.984211196440071	0	24	12.0	6.458659745975609	12956	114.560254
ScalObject-msq.5.log	atomic-queue	Bound(4)	true	false	true	false	386	192	0	23	10.691709844559586	4.227403941170621	1	5	3.6088082901554404	0.795980244833288	0	20	8.981865284974093	3.3016615482522282	12680	100.312806
ScalObject-msq.5.log	atomic-queue	Symbolic	false	false	true	false	67	32	0	35	18.029850746268657	9.888729656523635	1	5	3.582089552238806	0.9235841536257444	0	27	13.895522388059701	7.511878126044896	16156	111.715887
