# data/reports/report-Feb-26-2015-00h13.txt
Generating reports for data/histories/generated/small/**/*.log
-------------------------------------------------------------------------------
             data/histories/generated/small/**/*.log (timeout 10s)             
-------------------------------------------------------------------------------
history                 | algorithm | r | ste | che | widt | weig | time    | v
ScalObject-bkq.06.log   | Bound(0)  | - | 20  | 10  | 1.0  | 4.1  | 1.0685  | -
ScalObject-bkq.06.log   | Bound(0)  | √ | 20  | 10  | 1.0  | 1.0  | 0.1968  | -
ScalObject-bkq.06.log   | Symbolic  | - | 18  | 9   | 1.0  | 3.7  | 0.1348  | √
ScalObject-bkq.06.log   | Symbolic  | √ | 18  | 9   | 1.0  | 0.9  | 0.0276  | √
ScalObject-bkq.06.log   | Saturate  | - | 18  | 9   | 1.0  | 3.7  | 0.0039  | √
ScalObject-bkq.06.log   | Saturate  | √ | 18  | 9   | 1.0  | 0.9  | 0.0041  | √
------------------------+-----------+---+-----+-----+------+------+---------+--
ScalObject-bkq.07.log   | Enumerate | - | 18  | 8   | 1.8  | 4.8  | 9.1603  | √
ScalObject-bkq.07.log   | Bound(4)  | - | 18  | 8   | 1.8  | 4.8  | 0.3731  | √
ScalObject-bkq.07.log   | Bound(4)  | √ | 18  | 8   | 1.8  | 4.1  | 0.2474  | √
ScalObject-bkq.07.log   | Bound(2)  | - | 20  | 10  | 1.8  | 5.1  | 1.1349  | -
ScalObject-bkq.07.log   | Bound(2)  | √ | 20  | 10  | 1.8  | 4.3  | 0.788   | -
ScalObject-bkq.07.log   | Bound(0)  | - | 20  | 10  | 1.8  | 5.1  | 1.4193  | -
ScalObject-bkq.07.log   | Bound(0)  | √ | 20  | 10  | 1.8  | 4.3  | 0.9215  | -
ScalObject-bkq.07.log   | Symbolic  | - | 18  | 8   | 1.8  | 4.8  | 0.2129  | √
ScalObject-bkq.07.log   | Symbolic  | √ | 18  | 8   | 1.8  | 4.1  | 0.1217  | √
ScalObject-bkq.07.log   | Saturate  | - | 19  | 9   | 1.8  | 5.0  | 0.0061  | √
ScalObject-bkq.07.log   | Saturate  | √ | 19  | 9   | 1.8  | 4.2  | 0.0056  | √
------------------------+-----------+---+-----+-----+------+------+---------+--
ScalObject-bkq.08.log   | Enumerate | - | 20  | 10  | 1.1  | 5.1  | 0.369   | √
ScalObject-bkq.08.log   | Bound(4)  | - | 20  | 10  | 1.1  | 5.1  | 0.5064  | √
ScalObject-bkq.08.log   | Bound(4)  | √ | 20  | 10  | 1.1  | 1.2  | 0.1796  | √
ScalObject-bkq.08.log   | Bound(2)  | - | 20  | 10  | 1.1  | 5.1  | 0.7091  | √
ScalObject-bkq.08.log   | Bound(2)  | √ | 20  | 10  | 1.1  | 1.2  | 0.1702  | √
ScalObject-bkq.08.log   | Bound(0)  | - | 20  | 10  | 1.1  | 5.1  | 1.2276  | -
ScalObject-bkq.08.log   | Bound(0)  | √ | 20  | 10  | 1.1  | 1.2  | 0.2121  | -
ScalObject-bkq.08.log   | Symbolic  | - | 20  | 10  | 1.1  | 5.1  | 0.1805  | √
ScalObject-bkq.08.log   | Symbolic  | √ | 20  | 10  | 1.1  | 1.2  | 0.0318  | √
ScalObject-bkq.08.log   | Saturate  | - | 20  | 10  | 1.1  | 5.1  | 0.0053  | √
ScalObject-bkq.08.log   | Saturate  | √ | 20  | 10  | 1.1  | 1.2  | 0.004   | √
------------------------+-----------+---+-----+-----+------+------+---------+--
ScalObject-bkq.09.log   | Enumerate | - | 20  | 10  | 1.0  | 4.2  | 0.3081  | √
ScalObject-bkq.09.log   | Bound(4)  | - | 20  | 10  | 1.0  | 4.2  | 0.5707  | -
ScalObject-bkq.09.log   | Bound(4)  | √ | 20  | 10  | 1.0  | 3.4  | 0.3155  | -
ScalObject-bkq.09.log   | Bound(2)  | - | 20  | 10  | 1.0  | 4.2  | 0.7517  | -
ScalObject-bkq.09.log   | Bound(2)  | √ | 20  | 10  | 1.0  | 3.4  | 0.4108  | -
ScalObject-bkq.09.log   | Bound(0)  | - | 20  | 10  | 1.0  | 4.2  | 0.7982  | -
ScalObject-bkq.09.log   | Bound(0)  | √ | 20  | 10  | 1.0  | 3.4  | 0.4331  | -
ScalObject-bkq.09.log   | Symbolic  | - | 20  | 10  | 1.0  | 4.2  | 0.1542  | √
ScalObject-bkq.09.log   | Symbolic  | √ | 20  | 10  | 1.0  | 3.4  | 0.079   | √
ScalObject-bkq.09.log   | Saturate  | - | 20  | 10  | 1.0  | 4.2  | 0.0074  | √
ScalObject-bkq.09.log   | Saturate  | √ | 20  | 10  | 1.0  | 3.4  | 0.0068  | √
------------------------+-----------+---+-----+-----+------+------+---------+--
ScalObject-bkq.10.log   | Enumerate | - | 20  | 10  | 1.6  | 4.1  | 0.6405  | -
ScalObject-bkq.10.log   | Bound(4)  | - | 20  | 10  | 1.6  | 4.1  | 0.7142  | -
ScalObject-bkq.10.log   | Bound(4)  | √ | 20  | 10  | 1.6  | 1.8  | 0.2603  | -
ScalObject-bkq.10.log   | Bound(2)  | - | 20  | 10  | 1.6  | 4.1  | 0.8824  | -
ScalObject-bkq.10.log   | Bound(2)  | √ | 20  | 10  | 1.6  | 1.8  | 0.2655  | -
ScalObject-bkq.10.log   | Bound(0)  | - | 20  | 10  | 1.6  | 4.1  | 1.3015  | -
ScalObject-bkq.10.log   | Bound(0)  | √ | 20  | 10  | 1.6  | 1.8  | 0.2683  | -
ScalObject-bkq.10.log   | Symbolic  | - | 20  | 10  | 1.6  | 4.1  | 0.4352  | -
ScalObject-bkq.10.log   | Symbolic  | √ | 20  | 10  | 1.6  | 1.8  | 0.09    | -
ScalObject-bkq.10.log   | Saturate  | - | 20  | 10  | 1.6  | 4.1  | 0.0052  | -
ScalObject-bkq.10.log   | Saturate  | √ | 20  | 10  | 1.6  | 1.8  | 0.004   | -
